Row id ValorTamanhoFragrancia,Produto id,Tamanhos id,Valor,Tamanho,TMP Fragrância Cor,Tipo de tamanho id,TMP_Produto ID + Fragrância ID,TMP Chave tripla,Indisponível,TMP Tamanho indisponivel,Lista descritivo,TMP Todas as variações,Codigo Ref,Nome do Produto,Fragrancia id,Fragrancia,Se indisponivel,Valor Promocional,Cores id,Cor
qWdycUA9TIST.gDIaM99OQ,4CNkIAinSV-4R0YKPhI3nQ,5Ihv7VJ-Qm2Cb2TpWeXDrg,9,120ml,"120ml Eucalipto  R$ 9,00",ViU2USNJRHq0ozZts2ayIg,4CNkIAinSV-4R0YKPhI3nQ YEWQ13CfRNijrhpuSRZUoA,4CNkIAinSV-4R0YKPhI3nQ 5Ihv7VJ-Qm2Cb2TpWeXDrg YEWQ13CfRNijrhpuSRZUoA ,false,120ml ,"120ml Algodão  R$ 9,00_ 120ml Citronela  R$ 9,00_ 120ml Bambu  R$ 9,00_ 120ml Cravo e Canela  R$ 9,00_ 120ml Erva Doce  R$ 9,00_ 120ml Eucalipto  R$ 9,00_ 120ml Lavanda  R$ 9,00","120ml Algodão  R$ 9,00
 120ml Citronela  R$ 9,00
 120ml Bambu  R$ 9,00
 120ml Cravo e Canela  R$ 9,00
 120ml Erva Doce  R$ 9,00
 120ml Eucalipto  R$ 9,00
 120ml Lavanda  R$ 9,00",7897744501220,Odorizante Spray 120ML (COALA),YEWQ13CfRNijrhpuSRZUoA,Eucalipto,,,,
EIm5KDYmRy6OgAKAfiUpTA,4CNkIAinSV-4R0YKPhI3nQ,5Ihv7VJ-Qm2Cb2TpWeXDrg,9,120ml,"120ml Lavanda  R$ 9,00",ViU2USNJRHq0ozZts2ayIg,4CNkIAinSV-4R0YKPhI3nQ afep1N0qTIKD33fayENcvA,4CNkIAinSV-4R0YKPhI3nQ 5Ihv7VJ-Qm2Cb2TpWeXDrg afep1N0qTIKD33fayENcvA ,false,120ml ,"120ml Algodão  R$ 9,00_ 120ml Citronela  R$ 9,00_ 120ml Bambu  R$ 9,00_ 120ml Cravo e Canela  R$ 9,00_ 120ml Erva Doce  R$ 9,00_ 120ml Eucalipto  R$ 9,00_ 120ml Lavanda  R$ 9,00","120ml Algodão  R$ 9,00
 120ml Citronela  R$ 9,00
 120ml Bambu  R$ 9,00
 120ml Cravo e Canela  R$ 9,00
 120ml Erva Doce  R$ 9,00
 120ml Eucalipto  R$ 9,00
 120ml Lavanda  R$ 9,00",7897744500896,Odorizante Spray 120ML (COALA),afep1N0qTIKD33fayENcvA,Lavanda,,,,
JwCIGz93RdOgn.XUaJXdnQ,t.-RlPECTaG.rF.9vH1RPw,,"8,3",," Capim Limão  R$ 8,30",ViU2USNJRHq0ozZts2ayIg,t.-RlPECTaG.rF.9vH1RPw V3ixkpErRsmj-9P3S5zYzQ,t.-RlPECTaG.rF.9vH1RPw  V3ixkpErRsmj-9P3S5zYzQ ,, ," Capim Limão  R$ 8,30_  Talco  R$ 8,30_  Lavanda  R$ 8,30_  Alecrim  R$ 10,70_  Pétalas de Rosa  R$ 8,30_  Erva Doce  R$ 10,00_  Cravo e Canela  R$ 10,60"," Capim Limão  R$ 8,30
  Talco  R$ 8,30
  Lavanda  R$ 8,30
  Alecrim  R$ 10,70
  Pétalas de Rosa  R$ 8,30
  Erva Doce  R$ 10,00
  Cravo e Canela  R$ 10,60",7899674001726,Odorizador de Ambiente (ULTRAFRESH),V3ixkpErRsmj-9P3S5zYzQ,Capim Limão,,,,
4l5SkTEmQG26Oe5KcuQY0w,t.-RlPECTaG.rF.9vH1RPw,,"8,3",," Talco  R$ 8,30",ViU2USNJRHq0ozZts2ayIg,t.-RlPECTaG.rF.9vH1RPw atrceIU5QKqAE9JeEj5lSQ,t.-RlPECTaG.rF.9vH1RPw  atrceIU5QKqAE9JeEj5lSQ ,, ," Capim Limão  R$ 8,30_  Talco  R$ 8,30_  Lavanda  R$ 8,30_  Alecrim  R$ 10,70_  Pétalas de Rosa  R$ 8,30_  Erva Doce  R$ 10,00_  Cravo e Canela  R$ 10,60"," Capim Limão  R$ 8,30
  Talco  R$ 8,30
  Lavanda  R$ 8,30
  Alecrim  R$ 10,70
  Pétalas de Rosa  R$ 8,30
  Erva Doce  R$ 10,00
  Cravo e Canela  R$ 10,60",7898436149416,Odorizador de Ambiente (ULTRAFRESH),atrceIU5QKqAE9JeEj5lSQ,Talco,,,,
ijxVxnsgTOqagiWrm-ZAlg,t.-RlPECTaG.rF.9vH1RPw,,"8,3",," Lavanda  R$ 8,30",ViU2USNJRHq0ozZts2ayIg,t.-RlPECTaG.rF.9vH1RPw afep1N0qTIKD33fayENcvA,t.-RlPECTaG.rF.9vH1RPw  afep1N0qTIKD33fayENcvA ,, ," Capim Limão  R$ 8,30_  Talco  R$ 8,30_  Lavanda  R$ 8,30_  Alecrim  R$ 10,70_  Pétalas de Rosa  R$ 8,30_  Erva Doce  R$ 10,00_  Cravo e Canela  R$ 10,60"," Capim Limão  R$ 8,30
  Talco  R$ 8,30
  Lavanda  R$ 8,30
  Alecrim  R$ 10,70
  Pétalas de Rosa  R$ 8,30
  Erva Doce  R$ 10,00
  Cravo e Canela  R$ 10,60",7898436149386,Odorizador de Ambiente (ULTRAFRESH),afep1N0qTIKD33fayENcvA,Lavanda,,,,
n8ZF6pszTX6Lh-9A4s3VlQ,jyINGCLER5aY0gYhSu8S4A,n5FoQoB6T3Cz0j2iRIlJLA,"190,5",5L,"5L Glayds  R$ 190,50",ViU2USNJRHq0ozZts2ayIg,jyINGCLER5aY0gYhSu8S4A 7PjiqQ-wTvqL1GDzBXU9VA,jyINGCLER5aY0gYhSu8S4A n5FoQoB6T3Cz0j2iRIlJLA 7PjiqQ-wTvqL1GDzBXU9VA ,,5L ,"5L Glayds  R$ 190,50_ 5L DAISY  R$ 152,80_ 1L DAISY  R$ 47,80_ 5L Brisa do Mar  R$ 196,50_ 1L Brisa do Mar  R$ 56,00_ 5L Doce Festa  R$ 196,50_ 1L Doce Festa  R$ 47,70_ 60ml Doce Festa  R$ 10,30_ 1L Fofo Aconchego  R$ 47,70_ 500ml Fofo Aconchego  R$ 30,90_ 5L Fofo Aconchego  R$ 196,50_ 1L Glayds  R$ 50,60_ 5L Velha Infancia  R$ 196,50_ 60ml Velha Infancia  R$ 11,20_ 1L Velha Infancia  R$ 56,00_ 500ml Velha Infancia  R$ 30,90","5L Glayds  R$ 190,50
 5L DAISY  R$ 152,80
 1L DAISY  R$ 47,80
 5L Brisa do Mar  R$ 196,50
 1L Brisa do Mar  R$ 56,00
 5L Doce Festa  R$ 196,50
 1L Doce Festa  R$ 47,70
 60ml Doce Festa  R$ 10,30
 1L Fofo Aconchego  R$ 47,70
 500ml Fofo Aconchego  R$ 30,90
 5L Fofo Aconchego  R$ 196,50
 1L Glayds  R$ 50,60
 5L Velha Infancia  R$ 196,50
 60ml Velha Infancia  R$ 11,20
 1L Velha Infancia  R$ 56,00
 500ml Velha Infancia  R$ 30,90",7898237043050,Seven Air Clean Odorizador (SEVENGEL),7PjiqQ-wTvqL1GDzBXU9VA,Glayds,,,,
EHPHfc9MQM63xpy6TX-lew,jyINGCLER5aY0gYhSu8S4A,n5FoQoB6T3Cz0j2iRIlJLA,"152,8",5L,"5L DAISY  R$ 152,80",ViU2USNJRHq0ozZts2ayIg,jyINGCLER5aY0gYhSu8S4A peq6oDuAT4auKY9XqM8KFw,jyINGCLER5aY0gYhSu8S4A n5FoQoB6T3Cz0j2iRIlJLA peq6oDuAT4auKY9XqM8KFw ,,5L ,"5L Glayds  R$ 190,50_ 5L DAISY  R$ 152,80_ 1L DAISY  R$ 47,80_ 5L Brisa do Mar  R$ 196,50_ 1L Brisa do Mar  R$ 56,00_ 5L Doce Festa  R$ 196,50_ 1L Doce Festa  R$ 47,70_ 60ml Doce Festa  R$ 10,30_ 1L Fofo Aconchego  R$ 47,70_ 500ml Fofo Aconchego  R$ 30,90_ 5L Fofo Aconchego  R$ 196,50_ 1L Glayds  R$ 50,60_ 5L Velha Infancia  R$ 196,50_ 60ml Velha Infancia  R$ 11,20_ 1L Velha Infancia  R$ 56,00_ 500ml Velha Infancia  R$ 30,90","5L Glayds  R$ 190,50
 5L DAISY  R$ 152,80
 1L DAISY  R$ 47,80
 5L Brisa do Mar  R$ 196,50
 1L Brisa do Mar  R$ 56,00
 5L Doce Festa  R$ 196,50
 1L Doce Festa  R$ 47,70
 60ml Doce Festa  R$ 10,30
 1L Fofo Aconchego  R$ 47,70
 500ml Fofo Aconchego  R$ 30,90
 5L Fofo Aconchego  R$ 196,50
 1L Glayds  R$ 50,60
 5L Velha Infancia  R$ 196,50
 60ml Velha Infancia  R$ 11,20
 1L Velha Infancia  R$ 56,00
 500ml Velha Infancia  R$ 30,90",7898237047195,Seven Air Clean Odorizador (SEVENGEL),peq6oDuAT4auKY9XqM8KFw,DAISY,,,,
uG4VhizPSs-K103mls80oA,jyINGCLER5aY0gYhSu8S4A,CQ.P-xi2RHmXPAwEeSHrjQ,"47,8",1L,"1L DAISY  R$ 47,80",ViU2USNJRHq0ozZts2ayIg,jyINGCLER5aY0gYhSu8S4A peq6oDuAT4auKY9XqM8KFw,jyINGCLER5aY0gYhSu8S4A CQ.P-xi2RHmXPAwEeSHrjQ peq6oDuAT4auKY9XqM8KFw ,,1L ,"5L Glayds  R$ 190,50_ 5L DAISY  R$ 152,80_ 1L DAISY  R$ 47,80_ 5L Brisa do Mar  R$ 196,50_ 1L Brisa do Mar  R$ 56,00_ 5L Doce Festa  R$ 196,50_ 1L Doce Festa  R$ 47,70_ 60ml Doce Festa  R$ 10,30_ 1L Fofo Aconchego  R$ 47,70_ 500ml Fofo Aconchego  R$ 30,90_ 5L Fofo Aconchego  R$ 196,50_ 1L Glayds  R$ 50,60_ 5L Velha Infancia  R$ 196,50_ 60ml Velha Infancia  R$ 11,20_ 1L Velha Infancia  R$ 56,00_ 500ml Velha Infancia  R$ 30,90","5L Glayds  R$ 190,50
 5L DAISY  R$ 152,80
 1L DAISY  R$ 47,80
 5L Brisa do Mar  R$ 196,50
 1L Brisa do Mar  R$ 56,00
 5L Doce Festa  R$ 196,50
 1L Doce Festa  R$ 47,70
 60ml Doce Festa  R$ 10,30
 1L Fofo Aconchego  R$ 47,70
 500ml Fofo Aconchego  R$ 30,90
 5L Fofo Aconchego  R$ 196,50
 1L Glayds  R$ 50,60
 5L Velha Infancia  R$ 196,50
 60ml Velha Infancia  R$ 11,20
 1L Velha Infancia  R$ 56,00
 500ml Velha Infancia  R$ 30,90",7898237047188,Seven Air Clean Odorizador (SEVENGEL),peq6oDuAT4auKY9XqM8KFw,DAISY,,,,
iv27gDQESWGBiWdr8OXFNQ,jyINGCLER5aY0gYhSu8S4A,n5FoQoB6T3Cz0j2iRIlJLA,"196,5",5L,"5L Brisa do Mar  R$ 196,50",ViU2USNJRHq0ozZts2ayIg,jyINGCLER5aY0gYhSu8S4A u.pLgC63RsireKQT8khBrg,jyINGCLER5aY0gYhSu8S4A n5FoQoB6T3Cz0j2iRIlJLA u.pLgC63RsireKQT8khBrg ,,5L ,"5L Glayds  R$ 190,50_ 5L DAISY  R$ 152,80_ 1L DAISY  R$ 47,80_ 5L Brisa do Mar  R$ 196,50_ 1L Brisa do Mar  R$ 56,00_ 5L Doce Festa  R$ 196,50_ 1L Doce Festa  R$ 47,70_ 60ml Doce Festa  R$ 10,30_ 1L Fofo Aconchego  R$ 47,70_ 500ml Fofo Aconchego  R$ 30,90_ 5L Fofo Aconchego  R$ 196,50_ 1L Glayds  R$ 50,60_ 5L Velha Infancia  R$ 196,50_ 60ml Velha Infancia  R$ 11,20_ 1L Velha Infancia  R$ 56,00_ 500ml Velha Infancia  R$ 30,90","5L Glayds  R$ 190,50
 5L DAISY  R$ 152,80
 1L DAISY  R$ 47,80
 5L Brisa do Mar  R$ 196,50
 1L Brisa do Mar  R$ 56,00
 5L Doce Festa  R$ 196,50
 1L Doce Festa  R$ 47,70
 60ml Doce Festa  R$ 10,30
 1L Fofo Aconchego  R$ 47,70
 500ml Fofo Aconchego  R$ 30,90
 5L Fofo Aconchego  R$ 196,50
 1L Glayds  R$ 50,60
 5L Velha Infancia  R$ 196,50
 60ml Velha Infancia  R$ 11,20
 1L Velha Infancia  R$ 56,00
 500ml Velha Infancia  R$ 30,90",7898237047361,Seven Air Clean Odorizador (SEVENGEL),u.pLgC63RsireKQT8khBrg,Brisa do Mar,,,,
xovPqyicRWefxZ50vpbU9A,jyINGCLER5aY0gYhSu8S4A,CQ.P-xi2RHmXPAwEeSHrjQ,56,1L,"1L Brisa do Mar  R$ 56,00",ViU2USNJRHq0ozZts2ayIg,jyINGCLER5aY0gYhSu8S4A u.pLgC63RsireKQT8khBrg,jyINGCLER5aY0gYhSu8S4A CQ.P-xi2RHmXPAwEeSHrjQ u.pLgC63RsireKQT8khBrg ,,1L ,"5L Glayds  R$ 190,50_ 5L DAISY  R$ 152,80_ 1L DAISY  R$ 47,80_ 5L Brisa do Mar  R$ 196,50_ 1L Brisa do Mar  R$ 56,00_ 5L Doce Festa  R$ 196,50_ 1L Doce Festa  R$ 47,70_ 60ml Doce Festa  R$ 10,30_ 1L Fofo Aconchego  R$ 47,70_ 500ml Fofo Aconchego  R$ 30,90_ 5L Fofo Aconchego  R$ 196,50_ 1L Glayds  R$ 50,60_ 5L Velha Infancia  R$ 196,50_ 60ml Velha Infancia  R$ 11,20_ 1L Velha Infancia  R$ 56,00_ 500ml Velha Infancia  R$ 30,90","5L Glayds  R$ 190,50
 5L DAISY  R$ 152,80
 1L DAISY  R$ 47,80
 5L Brisa do Mar  R$ 196,50
 1L Brisa do Mar  R$ 56,00
 5L Doce Festa  R$ 196,50
 1L Doce Festa  R$ 47,70
 60ml Doce Festa  R$ 10,30
 1L Fofo Aconchego  R$ 47,70
 500ml Fofo Aconchego  R$ 30,90
 5L Fofo Aconchego  R$ 196,50
 1L Glayds  R$ 50,60
 5L Velha Infancia  R$ 196,50
 60ml Velha Infancia  R$ 11,20
 1L Velha Infancia  R$ 56,00
 500ml Velha Infancia  R$ 30,90",7898237047355,Seven Air Clean Odorizador (SEVENGEL),u.pLgC63RsireKQT8khBrg,Brisa do Mar,,,,
